Country or Area,Urban Net attendance ratio in primary education (NAR),Ratio of richest to poorest Net attendance ratio in primary education (NAR),Female Net attendance ratio in primary education (NAR),Poorest 20% Net attendance ratio in primary education (NAR),Richest 20% Net attendance ratio in primary education (NAR),Ratio of urban to rural Net attendance ratio in primary education (NAR),Rural Net attendance ratio in primary education (NAR),Male Net attendance ratio in primary education (NAR)
Comoros,41.0,1.1,52.0,85.0,94.0,1.4,29.0,48.0
Congo,82.6,0.96,59.0,61.4,70.8,1.28,67.0,63.4
Cook Islands,98.0,1.5,99.0,31.0,48.0,1.0,95.0,99.0
Costa Rica,96.0,1.0,90.0,95.0,97.0,1.0,96.0,87.0
Croatia,96.6,0.78,83.0,39.4,48.0,1.0,96.6,83.2
Cuba,96.0,1.7,76.5,51.0,87.0,1.0,96.5,79.5
Cyprus,88.16666666666667,1.0333333333333332,80.33333333333333,63.333333333333336,74.66666666666667,1.0833333333333333,80.83333333333333,81.5
Czech Republic,81.5,0.7,85.5,34.0,46.5,0.95,85.5,85.5
Côte d'Ivoire,67.0,1.0,81.0,99.0,98.0,1.4,48.0,85.0
Democratic People's Republic of Korea,100.0,1.2,98.0,33.0,39.0,1.0,99.0,98.0
Democratic Republic of the Congo,86.0,1.4,91.0,64.0,87.0,1.2,70.0,94.0
Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Djibouti,67.0,1.1,80.0,79.0,86.0,1.4,49.0,91.0
Dominica,96.0,1.7,76.5,51.0,87.0,1.0,96.5,79.5
Dominican Republic,95.0,1.7,98.0,50.0,87.0,1.0,95.0,97.0
Ecuador,94.5,1.2166666666666666,61.666666666666664,52.166666666666664,69.5,1.0166666666666666,92.16666666666667,62.5
Egypt,91.0,1.6,75.0,25.0,39.0,1.0,87.0,72.0
El Salvador,90.25,0.9,87.0,52.75,59.0,1.075,85.0,85.75
Equatorial Guinea,82.6,0.96,59.0,61.4,70.8,1.28,67.0,63.4
Eritrea,77.82352941176471,2.2176470588235295,86.05882352941177,64.23529411764706,81.3529411764706,1.3588235294117645,64.88235294117646,85.6470588235294
Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethiopia,86.0,1.6,93.0,35.0,55.0,1.4,61.0,91.0
Fiji,98.0,1.5,99.0,31.0,48.0,1.0,95.0,99.0
Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabon,82.6,0.96,59.0,61.4,70.8,1.28,67.0,63.4
Gambia,53.0,1.1,77.0,65.0,73.0,1.5,35.0,81.0
