Country or Area,Richest 20% Learning materials at home - Children's books,Female Net enrolment ratio in secondary education,Total Learning materials at home - Children's books,Male Net enrolment ratio in secondary education,Poorest 20% Learning materials at home - Children's books,Female Net attendance ratio in secondary education,Female Gross enrolment ratio in pre-primary education,Male Net attendance ratio in secondary education,Proportion of pupils starting grade 1 who reach grade 5,Gross enrolment ratio in lower secondary education
Ethiopia,0.101010101010101,0.2391304347826087,0.030927835051546393,0.2413793103448276,0.021505376344086027,0.16326530612244894,0.027027027027027032,0.16326530612244894,0.273972602739726,0.2280701754385965
Fiji,0.5195381487834321,0.7173913043478259,0.3423123473600035,0.6666666666666666,0.2406934018619961,0.6428571428571429,0.12162162162162166,0.6224489795918368,0.8767123287671232,0.7105263157894737
Finland,0.5195381487834321,0.9347826086956522,0.3423123473600035,0.9425287356321842,0.2406934018619961,0.5798192532827089,0.4527027027027027,0.5703755339345039,1.0,0.7017543859649122
France,0.5195381487834321,0.9891304347826086,0.3423123473600035,0.9885057471264368,0.2406934018619961,0.5798192532827089,0.722972972972973,0.5703755339345039,0.9452054794520548,0.7982456140350878
Gabon,0.21212121212121213,0.19782608695652174,0.08247422680412371,0.19310344827586207,0.010752688172043013,0.3673469387755102,0.28378378378378377,0.3469387755102041,0.5616438356164384,0.2368421052631579
Gambia,0.2188552188552189,0.2282608695652173,0.12371134020618554,0.26436781609195403,0.013440860215053764,0.3469387755102041,0.20270270270270271,0.3469387755102041,0.4657534246575342,0.3859649122807017
Georgia,0.9191919191919192,0.5978260869565217,0.5567010309278351,0.6436781609195402,0.5161290322580645,0.8979591836734694,0.4256756756756757,0.8673469387755102,0.9452054794520548,0.6491228070175439
Germany,0.5195381487834321,0.8043478260869565,0.3423123473600035,0.8160919540229885,0.2406934018619961,0.5798192532827089,0.7567567567567568,0.5703755339345039,0.9452054794520548,0.7192982456140351
Ghana,0.2323232323232323,0.4239130434782609,0.5876288659793815,0.4482758620689655,0.010752688172043013,0.4489795918367347,0.4662162162162162,0.4081632653061225,0.6164383561643836,0.5614035087719298
Greece,0.8101010101010101,0.8043478260869565,0.44948453608247424,0.8160919540229885,0.4,0.8857142857142857,0.3716216216216216,0.8877551020408163,0.9452054794520548,0.6666666666666666
Grenada,0.9393939393939394,0.8478260869565217,0.8350515463917526,0.9540229885057472,0.7096774193548387,0.6938775510204082,0.6824324324324325,0.6301020408163265,0.8767123287671232,0.8947368421052632
Guatemala,0.7373737373737373,0.3478260869565217,0.010309278350515464,0.3563218390804598,0.1827956989247312,0.24489795918367346,0.4797297297297297,0.2346938775510204,0.8767123287671232,0.4035087719298245
Guinea,0.21212121212121213,0.15217391304347827,0.08247422680412371,0.27586206896551724,0.010752688172043013,0.17346938775510204,0.08783783783783784,0.2755102040816326,0.5342465753424658,0.2368421052631579
Guinea-Bissau,0.21212121212121213,0.2282608695652173,0.08247422680412371,0.26436781609195403,0.010752688172043013,0.20408163265306128,0.040540540540540536,0.2755102040816326,0.5616438356164384,0.2368421052631579
Guyana,0.8686868686868687,0.8152173913043478,0.4948453608247423,0.7586206896551724,0.3010752688172043,0.8061224489795918,0.5202702702702703,0.7142857142857143,0.7671232876712328,0.7017543859649122
Haiti,0.9393939393939394,0.7391304347826086,0.8350515463917526,0.6781609195402298,0.7096774193548387,0.21428571428571427,0.4662162162162162,0.1836734693877551,0.8767123287671232,0.7280701754385965
Honduras,0.7373737373737373,0.7391304347826086,0.010309278350515464,0.6781609195402298,0.1827956989247312,0.4387755102040816,0.2905405405405405,0.35714285714285715,0.8767123287671232,0.4912280701754386
Hungary,1.0,0.9021739130434784,1.0,0.9080459770114944,1.0,0.9081632653061223,0.5608108108108109,0.8911564625850338,0.9726027397260274,0.7017543859649122
Iceland,0.5195381487834321,0.8804347826086957,0.3423123473600035,0.8620689655172413,0.2406934018619961,0.5798192532827089,0.6486486486486487,0.5703755339345039,0.9452054794520548,0.6842105263157895
India,0.14646464646464644,0.4130434782608696,0.36597938144329895,0.4827586206896552,0.010752688172043013,0.5,0.3716216216216216,0.6020408163265306,0.6004566210045661,0.543859649122807
Indonesia,0.44107744107744096,0.6413043478260869,0.3161512027491409,0.6436781609195402,0.1039426523297491,0.6020408163265306,0.2905405405405405,0.5816326530612245,0.9315068493150684,0.6403508771929824
Iran (Islamic Republic of),0.14646464646464644,0.7826086956521741,0.36597938144329895,0.9195402298850576,0.010752688172043013,0.4693877551020408,0.2905405405405405,0.5612244897959183,0.9178082191780822,0.6929824561403509
